train_loss,val_loss,val_rmse,val_mae,epoch
0.047309538532237086,0.03836433850228786,0.8823765884030833,0.6757245606967041,1
0.036944873436483776,0.03741651684977114,0.8716020965056469,0.6668790971848468,2
0.03515751412892832,0.037221700558438896,0.8692996690149157,0.6688787666341909,3
0.034137038714429246,0.036737489700317386,0.8636905233701989,0.6614820005915961,4
0.0334154191733444,0.036587598640471695,0.8617356575112955,0.6581201600760535,5
0.032923788840210515,0.036849137069657444,0.8648593195902261,0.6612990989727705,6
0.03220311823430695,0.036912738950923084,0.8656460781417636,0.6606586126289975,7
0.031778426734801336,0.03701055618003011,0.8668856175762788,0.662105470857347,8
0.03146054496682143,0.03771625873632729,0.8749260372058292,0.6665194300356152,9
0.03116888815796451,0.037646588915959,0.8741391216311276,0.6650334614314632,10
0.02984005258171053,0.03792753592133522,0.8773746073217619,0.6680424213963563,11
0.02946803524288573,0.037853579083457586,0.8764886850710057,0.6665009693809678,12
0.029210008403781473,0.0380300659686327,0.8783845186471134,0.6669803970895681,13
0.0291328508571922,0.038082659244537354,0.8789696431752445,0.6667497301465347,14
0.028914356798735222,0.03814589777030051,0.8796961557709123,0.668510297652096,15
0.028634201251913474,0.03799142250791192,0.8779326039011978,0.6647192209723336,16
0.02835636307143524,0.03826791099272668,0.8811182549352751,0.6667920152753893,17
0.028065776758933368,0.03847787771373987,0.8833548215445874,0.6679775071171885,18
0.027901344832410163,0.038463020138442515,0.883261329156739,0.6675333006478158,19
0.027729750345637905,0.038661458529531956,0.8855091905887292,0.669767598644821,20
0.026755672225233496,0.038740161806344986,0.8865330805944658,0.6693717833162861,21
0.026457847196231538,0.038785483408719304,0.8868065732344709,0.6688060387405642,22
0.026322417173393165,0.0387951991520822,0.8868972284891254,0.6694793591851377,23
0.02619591793870624,0.038940499816089866,0.888436004595586,0.6697943288565439,24
0.026078071557221156,0.03908903785049915,0.8901158634378329,0.6713913309394143,25
0.02593611021632258,0.03914272454567254,0.8907181609219605,0.6720657275375665,26
0.02573110853156806,0.039309605956077576,0.8924715404146496,0.6729605236247356,27
0.02565874665079615,0.039324131421744825,0.8926976247893813,0.6731425177720433,28
0.025489841965086097,0.03940010946244001,0.8935012941775382,0.672929090372361,29
0.025293417498940908,0.03953649830073118,0.8950164263038112,0.6742228758877874,30
